model,test_n,auc,precision,recall,f1
baseline_logistic,24539,0.7959801638338302,0.526024723487313,0.5277415143603134,0.5268817204301075
mechanism_logistic,24539,0.7960788674553596,0.5265992167101827,0.5265992167101827,0.5265992167101827
