heterogeneity,complaint_type,n_group_true,n_group_false,slow_rate_true,slow_rate_false,slow_rate_gap_pp,median_days_true,median_days_false
low_income,HEAT/HOT WATER,22254,37641,0.05702345645726611,0.09433862012167583,-3.7315163664409727,1.5397627314814815,1.666712962962963
low_income,Noise - Residential,17933,41975,0.0,9.529481834425254e-05,-0.009529481834425254,0.0459375,0.03802083333333333
low_income,Street Condition,5180,53129,0.23803088803088804,0.23872084925370324,-0.06899612228151997,1.0549131944444445,1.0882291666666666
low_income,Street Light Condition,3922,21812,0.3691993880673126,0.3751146158078122,-0.5915227740499573,1.2086805555555555,1.4524305555555554
low_income,Traffic Signal Condition,5691,29023,0.06466350377789493,0.04544671467456845,1.9216789103326477,0.08888888888888889,0.09444444444444444
low_income,UNSANITARY CONDITION,19159,33926,0.8077665848948274,0.8070506396274244,0.07159452674030398,8.948113425925927,9.043229166666666
high_hpd,HEAT/HOT WATER,23192,36703,0.06834253190755434,0.08813993406533525,-1.979740215778092,1.5430266203703704,1.6675000000000002
high_hpd,Noise - Residential,17852,42056,0.0,9.511128019783147e-05,-0.009511128019783146,0.04382523148148148,0.03836805555555555
high_hpd,Street Condition,5053,53256,0.2135365129625965,0.24104326273095988,-2.75067497683634,1.0305555555555557,1.0903703703703704
high_hpd,Street Light Condition,3527,22207,0.4130989509498157,0.3680371054172108,4.506184553260489,1.673611111111111,1.3625
high_hpd,Traffic Signal Condition,5055,29659,0.06271018793273986,0.04619171246501905,1.651847546772081,0.09236111111111112,0.09375
high_hpd,UNSANITARY CONDITION,19972,33113,0.8008712197075907,0.8111919789810649,-1.03207592734742,8.87542824074074,9.103229166666667
