complaint_type,n,median_days,p75_days
Noise - Residential,59908,0.03972222222222222,0.08665509259259259
Traffic Signal Condition,34714,0.09375,0.4215277777777778
Street Condition,58309,1.0858564814814815,3.121111111111111
Street Light Condition,25734,1.4204861111111113,6.049652777777777
HEAT/HOT WATER,59895,1.6196527777777778,2.3935416666666667
UNSANITARY CONDITION,53085,9.00917824074074,18.44628472222222
