flagged_share,flagged_n,slow_cases_captured,slow_case_capture_rate,median_days_before,median_days_after,p75_days_before,p75_days_after,total_days_saved
0.1,2458,1492,0.24347258485639686,0.8834953703703704,0.8803356481481481,3.304658564814815,3.053009259259259,3083.968768518518
0.2,4916,2630,0.429177545691906,0.8834953703703704,0.8730092592592592,3.304658564814815,2.9916840277777776,5674.207740740739
0.25,6139,3214,0.5244778067885117,0.8834953703703704,0.8672222222222222,3.304658564814815,2.955953703703704,7097.23548148148
