model,train_n,test_n,slow_threshold_days,test_slow_rate,screening_cutoff,auc,accuracy,precision,recall,f1,tp,fp,tn,fn
majority_baseline,267106,24539,3.3127546296296297,0.24972492766616405,0.2500318225723121,0.3577837697210474,0.24972492766616405,0.24972492766616405,1.0,0.3996478299148922,6128,18411,0,0
complaint_type_lookup,267106,24539,3.3127546296296297,0.24972492766616405,0.23404299169431791,0.7557276552231447,0.5746362932474836,0.3641235813366961,0.9423955613577023,0.5252865199199563,5775,10085,8326,353
naive_bayes,267106,24539,3.3127546296296297,0.24972492766616405,0.5755897582307217,0.7603704569566412,0.7409429887118465,0.48133659331703343,0.4818864229765013,0.4816113512191144,2953,3182,15229,3175
logistic_regression,267106,24539,3.3127546296296297,0.24972492766616405,0.2477889995643501,0.7958124846750573,0.7621744977382942,0.5238250652741514,0.5238250652741514,0.5238250652741514,3210,2918,15493,2918
simple_neural_network,267106,24539,3.3127546296296297,0.24972492766616405,0.24484770131787745,0.7182318104187062,0.7139247728106279,0.4273142112125163,0.4278720626631854,0.42759295499021527,2622,3514,14897,3506
