borough,n,median_days,p75_days
STATEN ISLAND,13502,0.8548553240740742,3.1431278935185185
MANHATTAN,60785,0.8812962962962962,3.0978703703703707
QUEENS,61082,0.9262268518518518,3.055541087962963
BROOKLYN,81409,0.9706250000000001,3.6902314814814816
BRONX,74867,1.1940277777777777,3.6609374999999997
