borough,n,raw_median_days,adjusted_residual,adjusted_percent_vs_average
BRONX,74867,1.1940277777777777,-0.0062169944900305855,-0.6197708966481086
BROOKLYN,81409,0.9706250000000001,0.06104215929840054,6.294372620430311
MANHATTAN,60785,0.8812962962962962,-0.11007050837805749,-10.42290262886234
QUEENS,61082,0.9262268518518518,0.06767299207201569,7.001534776014573
STATEN ISLAND,13502,0.8548553240740742,-0.14419339874210504,-13.427969734968615
